categories = ['Arts and Entertainment', 'Business and Consumer Services', 'Community and Society', 'Computers Electronics and Technology', 'eCommerce and Shopping', 'Finance', 'Food and Drink', 'Gambling', 'Games', 'Health', 'Heavy Industry and Engineering', 'Hobbies and Leisure', 'Home and Garden', 'Jobs and Career', 'Law and Government', 'Lifestyle', 'News and Media Publishers', 'Pets and Animals', 'Reference Materials', 'Science and Education', 'Sports', 'Travel and Tourism', 'Vehicles', 'Adult']

Extension,index,load_time,website,key
ghostery,78,-5984,www.andropalace.org,NULL
ghostery,79,-5885,www.fandom.com,Arts & Entertainment
ghostery,80,-5868,www.mida.gov.my,NULL
ghostery,81,-5825,www.hy-dl.com.cn,NULL
ghostery,82,-5815,www.mashable.com,Business & Industrial
ghostery,83,-5805,www.dlsite.com,Adult
ghostery,84,-5783,www.vox.com,Arts & Entertainment
ghostery,85,-5779,www.learnmech.com,NULL
ghostery,86,-5773,www.itu.int,Business & Industrial
ghostery,87,-5755,www.thesaurus.com,Reference-Materials
ghostery,88,-5712,www.braze.com,NULL
ghostery,89,-5630,www.thisvid.com,NULL
ghostery,90,-5614,www.wsj.com,Business & Industrial
ghostery,91,-5504,www.indiatimes.com,News
ghostery,92,-5503,3lift.com,NULL
ghostery,93,-5414,www.readmoo.com,NULL
ghostery,94,-5365,www.record-ragnarok.com,NULL
ghostery,95,-5165,www.history.com,People & Society
ghostery,96,-5157,bestfonts.pro,NULL
ghostery,97,-5055,www.latimes.com,News
ghostery,98,-5000,www.newsweek.com,News
https,1,-55129,www.teamcolorcodes.com,NULL
https,2,-48838,www.cqkjwx.com,NULL
https,3,-36848,www.lastnighton.com,NULL
https,4,-27780,www.360doc.com,NULL
https,5,-25045,www.huffpost.com,News
https,6,-22387,www.box.com,Sports
https,7,-20855,www.thesun.co.uk,News
https,8,-17442,www.gitee.com,NULL
https,9,-15091,www.marinelink.com,NULL
https,10,-14959,www.mlb.com,Sports
https,11,-14499,www.nicovideo.jp,Arts-and-Entertainment
https,12,-13823,www.rollingstone.com,Arts & Entertainment
https,13,-12965,www.arstechnica.com,NULL
https,14,-12697,www.hollywoodreporter.com,News
https,15,-12641,www.netscape.com,NULL
https,16,-11738,www.dictionary.com,Reference
https,17,-11095,www.atlassian.net,Computers & Electronics
https,18,-10644,www.wps.cn,NULL
https,19,-10014,www.pornhub.com,Adult
https,20,-9295,www.foxnews.com,News
https,21,-9268,www.variety.com,Arts & Entertainment
https,22,-7738,www.careerindia.com,NULL
https,23,-7632,www.zhipin.com,Jobs-and-Career
https,24,-7451,www.rcfl.com.hk,NULL
https,25,-7077,www.mida.gov.my,NULL
https,26,-6419,www.eventbrite.com,Arts & Entertainment
https,27,-6039,www.hatena.ne.jp,NULL
https,28,-5996,www.itu.int,Business & Industrial
https,29,-5805,www.groove.cm,NULL
https,30,-5698,www.zhcommerce.cn,NULL
https,31,-5591,www.autohome.com.cn,Vehicles
https,32,-5510,www.thisvid.com,NULL
https,33,-5274,www.reuters.com,News
https,34,-5052,www.dytt8.net,NULL
noscript,1,-56049,www.lastnighton.com,NULL
noscript,2,-50831,www.cqkjwx.com,NULL
noscript,3,-45029,www.360doc.com,NULL
noscript,4,-39138,www.thesun.co.uk,News
noscript,5,-38773,www.dailymail.co.uk,News
noscript,6,-36532,www.schooldigger.com,NULL
noscript,7,-36402,www.livescience.com,Science
noscript,8,-36400,www.techradar.com,News
noscript,9,-35434,www.hollywoodreporter.com,News
noscript,10,-34958,www.huffpost.com,News
noscript,11,-30761,www.mlb.com,Sports
noscript,12,-30517,www.huffingtonpost.com,News
noscript,13,-30035,www.foxnews.com,News
noscript,14,-24857,www.reuters.com,News
noscript,15,-24277,www.box.com,Sports
noscript,16,-24035,www.ifeng.com,NULL
noscript,17,-23399,www.rollingstone.com,Arts & Entertainment
noscript,18,-23215,www.variety.com,Arts & Entertainment
noscript,19,-21377,www.doubledivision.org,NULL
noscript,20,-21310,www.dictionary.com,Reference
noscript,21,-21001,www.smithsonianmag.com,Reference
noscript,22,-20934,www.autohome.com.cn,Vehicles
noscript,23,-20753,www.averagelinuxuser.com,NULL
noscript,24,-20717,www.sina.com.cn,Sports
noscript,25,-20219,www.speedtest.net,Computer
noscript,26,-19774,www.gitee.com,NULL
noscript,27,-19556,www.codexnomina.com,NULL
noscript,28,-19501,www.time.com,News
